Tempo_s,R_Puro,G_Puro,B_Puro,Media_Total
0.0,253.065,251.50890625,253.4,252.65796875
0.16666799224438122,253.1709375,251.490625,253.63078125,252.76411458333334
0.33333598448876245,253.06625,251.51921875,253.5975,252.72765625
0.5000039767331437,253.0640625,251.32671875,253.70203125,252.69760416666668
0.6666719689775249,253.07859375,251.42796875,253.5190625,252.67520833333333
0.8333399612219061,253.17125,251.3328125,253.71765625,252.74057291666668
1.0000079534662873,253.164375,251.07203125,253.79078125,252.67572916666668
1.1666759457106686,253.01640625,251.23046875,253.59953125,252.61546875
1.3333439379550498,252.9525,251.39734375,253.49375,252.61453125
1.5000119301994292,253.26484375,251.12734375,253.9278125,252.7733333333333
1.6666799224438105,252.969375,251.32484375,253.48953125,252.59458333333336
1.8333479146881917,253.20890625,250.968125,254.02046875,252.7325
2.000015906932573,252.95203125,251.38921875,253.514375,252.6185416666667
2.166683899176954,253.1784375,251.36640625,253.73046875,252.7584375
2.3333518914213354,253.041875,251.395,253.54375,252.66020833333332
2.5000198836657166,252.9453125,251.7203125,253.28578125,252.65046875
2.666687875910098,252.94921875,251.39796875,253.5009375,252.61604166666666
2.833355868154479,253.16125,251.36234375,253.70875,252.74411458333336
3.0000238603988603,253.08421875,250.9996875,253.82453125,252.63614583333333
3.1666918526432415,252.97484375,251.50203125,253.419375,252.63208333333333
3.3333598448876227,253.19640625,251.19265625,253.7453125,252.71145833333335
3.500027837132004,253.2890625,251.15234375,253.93890625,252.79343749999998
3.666695829376385,253.11625,251.038125,253.78,252.6447916666667
3.8333638216207664,252.948125,251.66359375,253.30703125,252.63958333333335
4.000031813865148,252.99546875,251.37390625,253.4490625,252.60614583333333
4.166699806109529,253.1603125,251.33453125,253.70578125,252.73354166666664
4.333367798353908,253.3453125,251.2859375,254.15015625,252.9271354166667
4.5000357905982895,253.06390625,251.27515625,253.65078125,252.66328124999998
4.666703782842671,252.99921875,251.433125,253.61859375,252.68364583333332
4.833371775087052,253.1721875,251.32234375,253.72328125,252.73927083333334
5.000039767331433,253.08203125,251.26078125,253.668125,252.67031250000002
5.166707759575814,252.93234375,251.6934375,253.2778125,252.63453125
5.333375751820196,252.9996875,251.40609375,253.6265625,252.67744791666667
5.500043744064577,253.10046875,251.42796875,253.59828125,252.70890625
5.666711736308958,253.21,251.18390625,253.8115625,252.73515625000002
5.833379728553339,253.0696875,251.36921875,253.6540625,252.69765625
6.0000477207977205,253.09375,251.44859375,253.6078125,252.71671875
6.166715713042102,253.19015625,251.38421875,253.755,252.77645833333335
6.333383705286483,253.0075,251.5840625,253.5146875,252.70208333333335
6.500051697530864,252.941875,251.53125,253.555,252.6760416666667
6.666719689775245,253.07828125,251.464375,253.60078125,252.71447916666668
6.833387682019627,253.18875,251.36546875,253.7334375,252.76255208333336
7.000055674264008,253.188125,251.25046875,253.68828125,252.7089583333333
7.166723666508389,252.998125,251.66515625,253.31625,252.65984374999996
7.33339165875277,252.99125,251.52484375,253.55515625,252.69041666666666
7.5000596509971516,253.2778125,251.1415625,253.92515625,252.7815104166667
7.666727643241533,253.0725,251.17,253.8915625,252.71135416666664
7.833395635485914,253.073125,251.376875,253.6853125,252.71177083333336
8.000063627730295,253.07375,251.30453125,253.52921875,252.63583333333335
8.166731619974676,253.26375,251.111875,253.9275,252.76770833333333
8.333399612219058,253.23046875,251.32328125,253.82015625,252.79130208333333
8.500067604463439,253.44078125,250.5825,254.316875,252.78005208333332
8.66673559670782,253.0178125,251.27234375,253.526875,252.60567708333335
8.833403588952198,253.180625,251.360625,253.7328125,252.75802083333335
9.000071581196579,253.06328125,251.42609375,253.52140625,252.67026041666668
9.16673957344096,252.93734375,251.688125,253.30171875,252.64239583333332
9.333407565685341,253.04484375,251.47875,253.59921875,252.70760416666667
9.500075557929723,253.24828125,251.17484375,253.88859375,252.77057291666668
9.666743550174104,253.16609375,251.02890625,253.95734375,252.71744791666666
9.833411542418485,252.944375,251.6696875,253.3003125,252.63812500000003
10.000079534662866,253.0259375,251.426875,253.63484375,252.69588541666667
10.166747526907248,253.2184375,251.058125,253.90734375,252.72796874999997
10.333415519151629,253.07859375,251.49078125,253.64015625,252.73651041666668
10.50008351139601,253.00421875,251.52453125,253.36609375,252.63161458333335
10.666751503640391,253.10203125,251.38578125,253.65328125,252.71369791666666
10.833419495884772,253.17375,251.4746875,253.64609375,252.76484374999998
11.000087488129154,253.1625,251.145,253.7565625,252.68802083333333
11.166755480373535,253.0315625,251.1803125,253.7528125,252.65489583333337
11.333423472617916,252.97421875,251.290625,253.52484375,252.5965625
11.500091464862297,253.189375,251.34578125,253.70671875,252.74729166666665
11.666759457106679,252.96375,251.40296875,253.51578125,252.62750000000003
11.83342744935106,253.19671875,251.2921875,253.676875,252.72192708333333
12.000095441595441,253.0728125,251.3290625,253.56328125,252.65505208333335
12.166763433839822,253.274375,251.108125,253.9575,252.78
12.333431426084204,253.01609375,251.40734375,253.63953125,252.68765625
12.500099418328585,253.31046875,250.86953125,254.04984375,252.74328125
12.666767410572966,253.2184375,251.22671875,253.79234375,252.7458333333333
12.833435402817347,253.22359375,251.32640625,253.78703125,252.77901041666667
13.000103395061728,71.6178125,207.17109375,222.28359375,167.02416666666667
13.16677138730611,53.70203125,154.448125,191.57328125,133.24114583333335
13.33343937955049,43.46875,130.995625,172.7496875,115.73802083333332
13.500107371794872,36.5159375,116.26046875,159.1396875,103.97203125
13.666775364039253,31.36796875,105.85125,148.1015625,95.10692708333333
13.833443356283635,26.94734375,97.88234375,139.796875,88.20885416666665
14.000111348528016,24.026875,91.319375,132.390625,82.57895833333333
14.166779340772397,21.1190625,86.03828125,127.42078125,78.19270833333333
14.333447333016778,19.22203125,81.0746875,121.1634375,73.82005208333334
14.50011532526116,17.28890625,76.94921875,117.43671875,70.55828125
14.666783317505537,15.725,72.9771875,113.3828125,67.36166666666666
14.833451309749918,13.6915625,70.01109375,109.19796875,64.30020833333333
15.0001193019943,14.18875,66.66453125,104.44328125,61.76552083333333
15.16678729423868,12.9196875,64.17171875,101.70359375,59.59833333333333
15.333455286483062,12.14890625,61.5928125,98.6840625,57.475260416666664
15.500123278727443,11.68984375,59.904375,95.733125,55.77578125
15.666791270971824,11.54125,57.49296875,92.74734375,53.9271875
15.833459263216206,10.4253125,55.5834375,90.6165625,52.2084375
16.000127255460587,10.26296875,53.70015625,88.01515625,50.659427083333334
16.166795247704968,10.16921875,52.46,85.6175,49.41557291666667
16.33346323994935,9.5428125,50.55484375,83.75046875,47.949374999999996
16.50013123219373,9.11828125,49.180625,81.976875,46.75859375000001
16.666799224438112,8.91359375,48.05453125,79.91078125,45.626302083333336
16.833467216682493,8.60421875,46.86828125,78.42703125,44.63317708333333
17.000135208926874,8.3378125,45.3375,76.53125,43.4021875
17.166803201171255,8.145,44.155625,74.23125,42.17729166666667
17.333471193415637,7.55359375,43.29546875,73.28734375,41.37880208333333
